47	0	0	6
26	0	0	6
132	0	64	4
38	0	64	4
80	0	64	4
193	0	192	250
49	0	192	250
172	0	192	250
125	0	64	253
148	255	64	253
221	254	64	253
13	255	64	6
71	255	64	6
199	255	64	6
180	255	0	251
161	0	0	251
227	0	0	251
107	0	64	255
247	0	64	255
90	0	64	255
192	254	128	255
113	254	128	255
133	254	128	255
79	254	128	255
252	255	128	0
58	0	128	0
105	0	128	0
68	0	64	1
170	0	64	1
142	0	64	1
116	0	64	1
162	0	0	254
92	0	0	254
57	0	0	254
36	0	192	1
94	0	192	1
213	255	192	1
113	0	128	2
227	0	128	2
230	255	128	2
86	255	128	2
126	255	128	2
52	254	128	2
10	255	0	250
124	255	0	250
82	0	0	250
194	0	192	8
57	0	192	8
49	0	192	8
131	255	64	1
47	255	64	1
176	254	64	1
233	254	128	0
0	255	128	0
149	255	64	253
239	254	64	253
215	254	64	253
54	255	64	253
254	255	0	7
93	0	0	7
211	255	0	254
129	255	0	254
191	255	0	254
195	255	128	251
247	0	128	251
125	0	192	254
128	0	192	254
105	0	192	254
76	255	128	4
142	255	128	4
41	255	128	4
80	255	192	254
246	255	192	254
10	0	192	253
142	0	192	253
164	0	192	253
157	255	0	3
49	254	0	3
190	254	0	3
205	254	64	250
40	255	64	250
243	254	64	250
12	255	0	254
129	0	0	254
6	1	0	254
20	1	64	254
107	255	64	254
28	255	64	254
247	254	128	2
203	254	128	2
141	254	128	2
24	254	128	249
123	253	128	249
46	254	192	253
229	253	192	253
24	254	192	253
66	254	192	253
99	254	192	253
161	253	128	255
58	254	128	255
169	254	128	255
115	254	128	0
49	255	128	0
246	254	192	248
19	255	192	248
130	254	192	248
161	254	192	248
111	254	0	0
109	253	0	0
57	253	0	0
76	253	0	0
73	252	64	0
100	253	64	0
45	254	192	253
60	254	192	253
44	254	64	249
133	254	64	249
117	255	64	249
75	0	64	253
67	0	64	253
146	0	64	253
10	255	192	3
222	254	192	3
23	255	0	0
59	255	0	0
66	255	0	0
4	0	0	0
241	255	64	1
237	0	64	1
143	0	128	250
170	255	128	250
217	255	128	250
145	255	192	7
127	255	192	7
107	255	192	7
97	255	192	7
114	255	0	2
89	255	0	2
49	255	0	2
239	254	0	2
46	255	0	252
206	255	0	252
197	255	0	252
119	0	64	0
96	0	64	0
80	0	64	0
217	0	0	255
211	0	0	255
37	1	64	14
206	0	64	14
249	0	64	14
169	0	64	14
183	0	0	5
42	1	0	5
65	0	0	5
33	0	128	251
149	0	128	251
119	0	128	251
175	0	0	0
14	0	0	0
25	0	0	251
108	0	0	251
118	255	0	251
103	255	0	251
99	255	0	6
145	255	0	6
155	255	0	6
246	255	0	6
89	0	64	3
4	0	64	3
142	255	64	3
172	255	64	3
213	255	192	253
28	0	192	253
204	255	192	253
107	255	128	3
22	255	128	3
140	255	128	3
74	255	128	0
184	255	128	0
178	255	192	251
244	255	192	251
61	0	192	251
28	0	64	253
61	0	64	253
250	255	64	253
127	255	192	254
78	255	192	254
147	255	192	254
199	255	128	249
189	255	128	249
14	0	128	249
155	0	64	9
51	0	64	9
102	0	64	9
246	255	128	0
252	255	128	0
179	255	128	0
108	255	192	0
145	255	192	0
206	255	192	0
233	255	64	2
58	0	64	2
202	255	64	2
231	255	0	252
32	0	0	252
86	0	0	252
135	0	0	252
66	0	0	250
100	0	0	250
175	255	0	252
86	255	0	252
69	255	0	252
2	255	0	252
243	255	128	2
234	255	128	2
40	0	0	255
68	0	0	255
49	0	0	255
220	255	0	255
61	0	128	2
234	255	128	2
47	255	128	2
220	255	64	3
59	0	64	3
11	1	64	3
212	0	192	252
43	0	192	252
