95	4	64	253
158	4	64	253
103	6	64	34
46	7	64	34
16	6	128	187
220	4	128	187
56	6	128	187
26	6	128	52
162	5	128	52
74	5	192	1
165	5	192	1
219	4	192	1
229	4	192	9
231	3	192	9
237	4	192	9
105	5	0	32
221	5	0	32
229	5	0	32
226	5	64	16
83	4	64	16
182	3	64	16
205	3	64	16
38	4	192	251
149	4	192	251
57	4	0	235
138	4	0	235
126	4	0	61
87	4	0	61
63	4	0	61
145	4	0	208
136	5	0	208
105	4	0	208
17	3	192	30
173	3	192	30
201	3	192	30
212	3	192	234
75	4	192	234
14	4	192	234
165	3	128	251
180	3	128	251
128	3	128	251
154	3	192	42
56	4	192	42
160	3	128	201
9	4	128	201
92	5	192	39
89	4	192	39
202	3	192	39
89	3	192	39
234	2	192	39
71	4	64	40
244	3	64	40
234	3	64	40
128	4	0	182
38	4	0	182
221	3	128	38
103	4	128	38
141	4	128	38
13	4	128	38
29	4	0	228
107	3	0	228
233	3	192	12
40	3	192	12
203	2	192	12
228	2	192	12
2	3	192	12
104	2	64	43
168	1	64	43
87	1	0	246
205	1	0	246
164	0	0	246
6	0	0	226
62	255	0	226
198	255	0	226
166	254	192	53
14	254	192	53
205	254	0	210
120	254	0	210
5	254	0	210
113	253	0	34
76	253	0	34
239	253	0	34
183	253	192	13
88	252	192	13
142	252	192	13
246	251	192	0
103	252	192	0
49	250	192	0
236	247	128	70
135	248	128	70
147	248	192	252
155	247	192	252
190	247	192	252
77	247	192	206
170	246	192	206
57	245	192	206
60	246	64	73
202	246	64	73
227	244	64	6
53	245	64	6
155	244	64	6
35	245	0	213
186	244	0	213
255	244	0	213
136	246	128	51
4	245	128	51
245	245	128	51
154	245	0	239
21	246	0	239
191	245	0	246
155	246	0	246
217	245	0	246
184	246	0	246
251	245	128	49
137	247	128	49
192	248	128	49
154	248	64	0
217	247	64	0
196	248	64	167
47	249	64	167
72	249	64	167
123	248	0	51
46	248	0	51
191	250	0	51
246	250	128	62
149	249	128	62
225	249	128	62
52	250	128	176
200	249	128	176
23	250	128	176
193	250	64	8
25	252	64	8
188	252	64	39
130	250	64	39
239	249	64	39
206	250	64	197
0	253	64	197
230	252	64	9
246	251	64	9
253	249	64	9
69	250	64	3
108	250	64	3
222	251	64	3
46	251	64	211
194	251	64	211
73	251	64	211
64	251	0	31
93	252	0	31
63	252	0	239
153	251	64	239
136	250	64	239
162	251	128	234
62	252	128	234
172	251	128	234
63	253	64	36
156	252	64	36
169	252	64	36
177	252	0	210
175	252	0	210
130	252	0	28
244	253	0	28
160	252	0	28
23	253	0	11
30	251	0	11
26	251	0	28
153	251	0	28
152	252	0	28
231	251	64	228
109	251	64	228
57	252	64	228
139	253	192	40
38	0	192	40
101	255	192	40
163	0	192	227
199	254	192	227
39	255	192	227
96	254	0	11
174	254	0	11
86	254	0	11
39	252	128	50
81	252	128	50
210	252	128	50
102	253	128	50
108	254	192	181
72	254	192	181
147	253	64	23
221	252	64	23
50	253	64	23
244	251	128	214
139	251	128	214
197	251	64	14
184	251	64	14
239	250	64	14
1	252	192	51
155	251	192	51
163	249	192	202
189	248	0	202
17	249	0	202
253	249	64	252
14	251	64	252
41	251	64	252
151	250	128	21
149	251	128	21
186	252	0	16
162	251	0	16
68	251	0	16
47	249	0	6
130	248	0	6
194	248	0	6
235	248	192	207
16	248	192	207
198	247	0	27
244	247	0	27
171	249	0	27
195	250	0	15
16	251	0	15
252	249	128	237
163	249	128	237
146	251	128	237
174	251	0	38
12	251	0	38
95	251	0	38
39	250	0	1
214	249	0	1
200	249	0	1
171	249	0	1
157	251	128	184
178	253	128	184
